country_name,iso3,openness,order
Afghanistan,AFG,0.05670539726985444,0.15921787709497207
Albania,ALB,0.5637317230973208,0.5286312849162011
Algeria,DZA,0.1953925349094112,0.2122905027932961
Angola,AGO,0.343836196174621,0.30726256983240224
Argentina,ARG,0.5364987573580857,0.520949720670391
Armenia,ARM,0.7138563462058053,0.37011173184357543
Australia,AUS,0.8598488669323721,0.9706703910614525
Austria,AUT,0.6589086764733968,0.8296089385474861
Azerbaijan,AZE,0.2913816251978756,0.057960893854748605
Bahrain,BHR,0.4204425067326156,0.18854748603351956
Bangladesh,BGD,0.3389564304682089,0.36731843575419
Barbados,BRB,0.7491184621687189,0.8533519553072626
Belarus,BLR,0.2563529305318805,0.055865921787709494
Belgium,BEL,0.7633712793374096,0.7541899441340782
Benin,BEN,0.48837860592254817,0.5279329608938548
Bhutan,BTN,0.4350592962595218,0.7108938547486033
Bolivia,BOL,0.4623712884889916,0.3659217877094972
Bosnia and Herzegovina,BIH,0.5911192595386935,0.5391061452513967
Botswana,BWA,0.7821115217566548,0.6682960893854748
Brazil,BRA,0.6690513982655802,0.8575418994413408
Bulgaria,BGR,0.7014391694784546,0.5069832402234637
Burkina Faso,BFA,0.37430914262676146,0.388268156424581
Burma/Myanmar,MMR,0.1220740348271674,0.04748603351955307
Burundi,BDI,0.1704030228452273,0.09078212290502793
Cambodia,KHM,0.23310228429148067,0.08240223463687152
Cameroon,CMR,0.26557377320915176,0.2053072625698324
Canada,CAN,0.8959261506795555,0.8337988826815642
Cape Verde,CPV,0.6989560074358782,0.7262569832402235
Central African Republic,CAF,0.2571399171544757,0.15363128491620112
Chad,TCD,0.2772735855449118,0.07402234636871508
Chile,CHL,0.8052765834417903,0.8743016759776536
China,CHN,0.21815990475160296,0.13058659217877094
Colombia,COL,0.7410297744703718,0.6822625698324023
Comoros,COM,0.5880590324374182,0.22486033519553073
Costa Rica,CRI,0.7077382831526537,0.8924581005586593
Croatia,HRV,0.6397843483895145,0.6668994413407822
Cuba,CUB,0.011286865012342471,0.13268156424581007
Cyprus,CYP,0.7477329098401114,0.7332402234636871
Czechia,CZE,0.8076460841504648,0.907122905027933
Democratic Republic of the Congo,COD,0.1913550304074411,0.1564245810055866
Denmark,DNK,0.97091194143829,0.994413407821229
Djibouti,DJI,0.3733919770583589,0.3505586592178771
Dominican Republic,DOM,0.5999194149907298,0.57472067039106145
Ecuador,ECU,0.5149842647389561,0.3715083798882682
Egypt,EGY,0.19692712890117098,0.37639664804469275
El Salvador,SLV,0.5996330393762483,0.055865921787709494
Equatorial Guinea,GNQ,0.11211611165944993,0.046089385474860335
Eritrea,ERI,0.020794268232696464,0.07262569832402235
Estonia,EST,0.9131142891035227,0.9392458100558659
Eswatini,SWZ,0.31937673615337037,0.23184357541899442
Ethiopia,ETH,0.2542109379214528,0.2905027932960894
Fiji,FJI,0.6445144393596924,0.6375698324022346
Finland,FIN,0.8552119335569692,0.9574022346368715
France,FRA,0.7792128013092138,0.8784916201117319
Gabon,GAB,0.3967728699931718,0.4727653631284916
Georgia,GEO,0.5796438934405848,0.3743016759776536
Germany,DEU,0.7002973786404372,0.9175977653631284
Ghana,GHA,0.5824068949881798,0.7318435754189945
Greece,GRC,0.3721069433359936,0.6354748603351955
Guatemala,GTM,0.5158965365997419,0.755586592178771
Guinea,GIN,0.3324282828466107,0.1990223463687151
Guinea-Bissau,GNB,0.2383409151149235,0.24162011173184356
Guyana,GUY,0.5181858786637046,0.49022346368715086
Haiti,HTI,0.3490779773082278,0.24581005586592178
Honduras,HND,0.6158839817292429,0.6124301675977654
Hong Kong,HKG,0.11389177601662986,0.4755586592178771
Hungary,HUN,0.6100320589112005,0.41201117318435754
Iceland,ISL,0.7274070374007673,0.9168994413407822
India,IND,0.44150959282919366,0.5097765363128491
Indonesia,IDN,0.34899065311932226,0.3715083798882681
Iran,IRN,0.07239413885915612,0.21997206703910613
Iraq,IRQ,0.27049335176007083,0.29748603351955305
Ireland,IRL,0.9465335100040321,0.9406424581005587
Israel,ISR,0.5857400277756035,0.6976256983240223
Italy,ITA,0.7361904735006056,0.6864525139664804
Ivory Coast,CIV,0.3697531452485904,0.4217877094972067
Jamaica,JAM,0.7873957767494469,0.7625698324022346
Japan,JPN,0.8751179172009422,0.8421787709497206
Jordan,JOR,0.5821805506604261,0.5921787709497207
Kazakhstan,KAZ,0.42523762432004636,0.24581005586592178
Kenya,KEN,0.577009046661012,0.6424581005586592
Kosovo,XKX,0.7656067298947642,0.5412011173184357
Kuwait,KWT,0.4814259750209706,0.5300279329608939
Kyrgyzstan,KGZ,0.4320278148916349,0.3680167597765363
Laos,LAO,0.16097896747246718,0.5251396648044693
Latvia,LVA,0.8285818410804636,0.9134078212290503
Lebanon,LBN,0.3760884378073641,0.38477653631284914
Lesotho,LSO,0.6470854703401482,0.6801675977653632
Liberia,LBR,0.3144322963733756,0.47067039106145253
Libya,LBY,0.18498535091471277,0.18994413407821228
Lithuania,LTU,0.7302533635857857,0.861731843575419
Luxembourg,LUX,0.842962363869013,0.8100558659217877
Madagascar,MDG,0.5057497266810473,0.26885474860335196
Malawi,MWI,0.4298571766652026,0.6277932960893855
Malaysia,MYS,0.7496254119371164,0.5768156424581006
Maldives,MDV,0.7360822398337015,0.5963687150837989
Mali,MLI,0.30987651052140663,0.5418994413407822
Malta,MLT,0.8539101034497322,0.6787709497206704
Mauritania,MRT,0.2781016571802761,0.12011173184357542
Mauritius,MUS,0.773182506198335,0.6829608938547486
Mexico,MEX,0.5874758569563286,0.2946927374301676
Moldova,MDA,0.6146658896513842,0.6836592178770949
Mongolia,MNG,0.602996641722694,0.5391061452513967
Montenegro,MNE,0.8006792270453783,0.6145251396648045
Morocco,MAR,0.4706883316449979,0.5593575418994413
Mozambique,MOZ,0.2638718416668956,0.3372905027932961
Namibia,NAM,0.6765812154205847,0.7094972067039106
Nepal,NPL,0.7356378586627745,0.6375698324022346
Netherlands,NLD,0.8962876692836417,0.8875698324022346
New Zealand,NZL,0.8986268479747023,0.9490223463687151
Nicaragua,NIC,0.23595755605257673,0.008379888268156424
Niger,NER,0.41208362166136225,0.6298882681564246
Nigeria,NGA,0.5741118189411829,0.3680167597765363
North Korea,PRK,0.028615044822658177,0.02513966480446927
North Macedonia,MKD,0.7942865329749205,0.3840782122905028
Norway,NOR,0.776709943994205,0.9092178770949721
Oman,OMN,0.35588828645557385,0.38407821229050276
Pakistan,PAK,0.276152090181789,0.32751396648044695
Palestine/Gaza,PSG,0.357233337664025,0.4092178770949721
Palestine/West Bank,PSE,0.35091594127582176,0.41899441340782123
Panama,PAN,0.6513327621634071,0.5391061452513967
Papua New Guinea,PNG,0.6204283617270651,0.5991620111731844
Paraguay,PRY,0.525158635166821,0.43575418994413406
Peru,PER,0.5946579047103877,0.5146648044692738
Philippines,PHL,0.5375936997843571,0.41201117318435754
Poland,POL,0.6952590784366137,0.5991620111731844
Portugal,PRT,0.40607859640401966,0.7891061452513967
Qatar,QAT,0.5313707409377347,0.4064245810055866
Republic of the Congo,COG,0.24398721263435258,0.2346368715083799
Romania,ROU,0.6495823316526339,0.5565642458100559
Russia,RUS,0.32662716809539544,0.11452513966480446
Rwanda,RWA,0.38025627858245925,0.28212290502793297
Sao Tome and Principe,STP,0.4612186566194621,0.6326815642458101
Saudi Arabia,SAU,0.4359205654644298,0.25837988826815644
Senegal,SEN,0.403415915862567,0.625
Serbia,SRB,0.5933683882886135,0.5195530726256983
Seychelles,SYC,0.5868298288354663,0.9217877094972067
Sierra Leone,SLE,0.3950067387430332,0.44972067039106145
Singapore,SGP,0.7894682750984585,0.8072625698324023
Slovakia,SVK,0.821131453896279,0.6662011173184358
Slovenia,SVN,0.7008112339991193,0.6571229050279329
Solomon Islands,SLB,0.7784364037936858,0.6256983240223464
Somalia,SOM,0.1732814330134487,0.25279329608938544
Somaliland,SML,0.6127712095621671,0.4287709497206704
South Africa,ZAF,0.63276066149569965,0.7674581005586593
South Korea,KOR,0.7587394647455467,0.8233240223463687
South Sudan,SSD,0.09692055507831765,0.08798882681564246
Spain,ESP,0.7902468521117232,0.8310055865921788
Sri Lanka,LKA,0.5781638521316403,0.7513966480446927
Sudan,SDN,0.13533204326338036,0.1634078212290503
Suriname,SUR,0.5752219613944396,0.6773743016759777
Sweden,SWE,0.8986372039763819,0.9643854748603352
Switzerland,CHE,0.8366322578423848,0.9664804469273742
Syria,SYR,0.08200534373299924,0.2276536312849162
Taiwan,TWN,0.8305986719057156,0.8093575418994413
Tajikistan,TJK,0.2026138362055992,0.04888268156424581
Tanzania,TZA,0.41268200858633186,0.5921787709497206
Thailand,THA,0.4076229732944391,0.5090782122905028
The Gambia,GMB,0.5804459153606853,0.8016759776536313
Timor-Leste,TLS,0.402004140306989,0.5418994413407822
Togo,TGO,0.31123175814593274,0.21368715083798884
Trinidad and Tobago,TTO,0.6034707080743414,0.7590782122905029
Tunisia,TUN,0.3913438956982695,0.44972067039106145
Turkmenistan,TKM,0.0502122685261493,0.10684357541899442
Türkiye,TUR,0.5030949919218971,0.223463687150838
Uganda,UGA,0.47230119785918256,0.3100558659217877
Ukraine,UKR,0.34288435912812015,0.2960893854748603
United Arab Emirates,ARE,0.5579134843841792,0.40921787709497204
United Kingdom,GBR,0.6808484712524118,0.8240223463687151
United States of America,USA,0.911883000851882,0.7597765363128491
Uruguay,URY,0.8059216269495836,0.854050279329609
Uzbekistan,UZB,0.11267667767437982,0.18016759776536312
Vanuatu,VUT,0.6389502403533844,0.827513966480447
Venezuela,VEN,0.10727556160613168,0.034916201117318434
Vietnam,VNM,0.33126332838393135,0.2011173184357542
Yemen,YEM,0.18900303217466194,0.13547486033519554
Zambia,ZMB,0.41304366870972775,0.5698324022346368
Zanzibar,ZZB,0.5218348057684812,0.4650837988826816
Zimbabwe,ZWE,0.31507470144935884,0.1983240223463687
