country_name,iso3,horizontal,vertical
Afghanistan,AFG,0.9201637001429128,0.9869646182495344
Albania,ALB,0.5368858924627407,0.55027932960893855
Algeria,DZA,0.7873996465330751,0.4143389199255121
Angola,AGO,0.7404905230031903,0.7402234636871509
Argentina,ARG,0.43993408068697143,0.409683426443203
Armenia,ARM,0.6131042603694286,0.16201117318435754
Australia,AUS,0.11614064230343298,0.23649906890130354
Austria,AUT,0.10729494690778307,0.31564245810055863
Azerbaijan,AZE,0.9185979489019634,0.94972067039106145
Bahrain,BHR,0.8957440128188472,0.9031657355679702
Bangladesh,BGD,0.6816941665583993,0.7374301675977654
Barbados,BRB,0.20213090649624363,0.28491620111731847
Belarus,BLR,0.9690811819076077,0.5744878957169459
Belgium,BEL,0.16249167372981846,0.1312849162011173
Benin,BEN,0.6467052716890316,0.3575418994413408
Bhutan,BTN,0.32261280936089304,0.3864059590316573
Bolivia,BOL,0.43145932965018324,0.3640595903165736
Bosnia and Herzegovina,BIH,0.5644167177069607,0.35381750465549344
Botswana,BWA,0.398978884785043,0.3798882681564246
Brazil,BRA,0.06789725331040126,0.3500931098696462
Bulgaria,BGR,0.3008534040267183,0.329608938547486
Burkina Faso,BFA,0.6626842348389704,0.542830540037244
Burma/Myanmar,MMR,0.9313693646875405,0.9199255121042831
Burundi,BDI,0.9116203798222766,0.6573556797020484
Cambodia,KHM,0.8739977542270644,0.8398510242085662
Cameroon,CMR,0.8370639148214827,0.7644320297951582
Canada,CAN,0.17974200420283307,0.22532588454376165
Cape Verde,CPV,0.22778960984593052,0.31843575418994413
Central African Republic,CAF,0.7552496746825706,0.7197392923649907
Chad,TCD,0.8027506593993536,0.8864059590316574
Chile,CHL,0.042143300523188786,0.29050279329608936
China,CHN,0.9659795818201691,0.8696461824953444
Colombia,COL,0.2430497555221474,0.4227188081936685
Comoros,COM,0.6783927875424562,0.39106145251396646
Costa Rica,CRI,0.1337080412694288,0.22718808193668527
Croatia,HRV,0.3468043620375698,0.3575418994413408
Cuba,CUB,0.9507755031335647,0.419925512104283
Cyprus,CYP,0.151570597491086,0.14152700186219738
Czechia,CZE,0.11477956779697718,0.24394785847299813
Democratic Republic of the Congo,COD,0.7101323748069233,0.7541899441340782
Denmark,DNK,0.03130110473880776,0.05027932960893855
Djibouti,DJI,0.7858088907036549,0.6573556797020484
Dominican Republic,DOM,0.41871137177750145,0.4823091247672253
Ecuador,ECU,0.48538804027955645,0.7616387337057728
Egypt,EGY,0.7798165539655731,0.7728119180633147
El Salvador,SLV,0.7647258981545068,0.7839851024208566
Equatorial Guinea,GNQ,0.9184925171835656,0.9078212290502793
Eritrea,ERI,0.9576458360400155,0.7271880819366853
Estonia,EST,0.09587429445815832,0.046554934823091254
Eswatini,SWZ,0.8019087523277467,0.808193668528864
Ethiopia,ETH,0.823612992899728,0.6191806331471136
Fiji,FJI,0.444260905609483,0.42178770949720673
Finland,FIN,0.060189653359070006,0.24674115456238363
France,FRA,0.10001087828488113,0.1713221601489758
Gabon,GAB,0.690503257298762,0.5046554934823091
Georgia,GEO,0.5767798111406011,0.5912476722532588
Germany,DEU,0.08172865742373343,0.21601489757914338
Ghana,GHA,0.2431701384377752,0.3519553072625698
Greece,GRC,0.37638556353640157,0.08007448789571692
Guatemala,GTM,0.0988588627603828,0.40782122905027934
Guinea,GIN,0.6608320908372877,0.6443202979515829
Guinea-Bissau,GNB,0.7030498895673639,0.6815642458100559
Guyana,GUY,0.6269758780477243,0.260707635009311
Haiti,HTI,0.7695368325321554,0.6201117318435754
Honduras,HND,0.3352195041976775,0.44320297951582865
Hong Kong,HKG,0.792133247131948,0.6405959031657356
Hungary,HUN,0.6380170794228219,0.6089385474860335
Iceland,ISL,0.13523229004910178,0.04655493482309129
India,IND,0.480559190243158,0.6797020484171322
Indonesia,IDN,0.5444930873912945,0.6219739292364991
Iran,IRN,0.8086532889540555,0.6983240223463688
Iraq,IRQ,0.691503440837597,0.7243947858472998
Ireland,IRL,0.15163426896894483,0.15083798882681565
Israel,ISR,0.1841224472119626,0.4757914338919926
Italy,ITA,0.17624239293396107,0.1405959031657356
Ivory Coast,CIV,0.6045807890520116,0.5865921787709497
Jamaica,JAM,0.27758392777231283,0.11266294227188083
Japan,JPN,0.23557776581682,0.08193668528864062
Jordan,JOR,0.4966426828840756,0.7206703910614525
Kazakhstan,KAZ,0.8471657685637158,0.7672253258845438
Kenya,KEN,0.39550814479358065,0.48603351955307267
Kosovo,XKX,0.4318064294272557,0.5400372439478585
Kuwait,KWT,0.4301675977653632,0.8044692737430168
Kyrgyzstan,KGZ,0.8018136317798524,0.6433891992551211
Laos,LAO,0.8288495208399067,0.7970204841713222
Latvia,LVA,0.14229389516839175,0.13966480446927373
Lebanon,LBN,0.5567209756017083,0.6350093109869646
Lesotho,LSO,0.3762879940855126,0.18342644320297952
Liberia,LBR,0.5681377613623944,0.30260707635009315
Libya,LBY,0.7112328344789044,0.7281191806331471
Lithuania,LTU,0.19047979938586668,0.1675977653631285
Luxembourg,LUX,0.17350632384086975,0.05214152700186222
Madagascar,MDG,0.5832402750195397,0.5158286778398511
Malawi,MWI,0.37971117380302777,0.6033519553072626
Malaysia,MYS,0.42297284965694737,0.4664804469273743
Maldives,MDV,0.3937335923499364,0.6890130353817505
Mali,MLI,0.5416001596169194,0.4022346368715084
Malta,MLT,0.23374907972803258,0.14152700186219738
Mauritania,MRT,0.7618813039918665,0.7942271880819367
Mauritius,MUS,0.2173697853832971,0.4245810055865921
Mexico,MEX,0.7210281886779224,0.462756052141527
Moldova,MDA,0.32849249656122465,0.29702048417132215
Mongolia,MNG,0.502301968814896,0.5716945996275605
Montenegro,MNE,0.45349971438057707,0.18435754189944134
Morocco,MAR,0.45599772432466984,0.7206703910614525
Mozambique,MOZ,0.5971515907042736,0.41527001862197394
Namibia,NAM,0.2651406649880081,0.3389199255121043
Nepal,NPL,0.3202564491215914,0.31564245810055863
Netherlands,NLD,0.044720577590526944,0.18528864059590314
New Zealand,NZL,0.13220157925887432,0.30260707635009315
Nicaragua,NIC,0.9380520342908286,0.9720670391061452
Niger,NER,0.38380161514174765,0.28305400372439476
Nigeria,NGA,0.5872477114357068,0.5605214152700186
North Korea,PRK,0.9776422889973624,0.8938547486033519
North Macedonia,MKD,0.577953222343894,0.6368715083798883
Norway,NOR,0.10113299141491942,0
Oman,OMN,0.717245277999468,0.8398510242085662
Pakistan,PAK,0.7126990829244955,0.6834264432029795
Palestine/Gaza,PSG,0.6260068857996621,0.44878957169459965
Palestine/West Bank,PSE,0.6937767961543458,0.7821229050279329
Panama,PAN,0.38282102282686925,0.595903165735568
Papua New Guinea,PNG,0.3484489937328706,0.4320297951582868
Paraguay,PRY,0.5937138464584223,0.6052141527001862
Peru,PER,0.4010259099092411,0.46741154562383613
Philippines,PHL,0.42255150945225,0.6582867783985102
Poland,POL,0.2912792244349994,0.14525139664804473
Portugal,PRT,0.24372178605970993,0.3230912476722532
Qatar,QAT,0.7367484703378557,0.9422718808193669
Republic of the Congo,COG,0.7297261765561103,0.8389199255121043
Romania,ROU,0.3599291931921528,0.3761638733705773
Russia,RUS,0.9426149850178692,0.9273743016759777
Rwanda,RWA,0.8736711479013675,0.8081936685288641
Sao Tome and Principe,STP,0.45667027042075764,0.48696461824953446
Saudi Arabia,SAU,0.8255353817504656,0.925512104283054
Senegal,SEN,0.46592364372018785,0.260707635009311
Serbia,SRB,0.7098186574443558,0.542830540037244
Seychelles,SYC,0.2241537622367816,0.38733705772811916
Sierra Leone,SLE,0.37875571496625154,0.29608938547486036
Singapore,SGP,0.4234436834800613,0.5521415270018621
Slovakia,SVK,0.28189038813308004,0.4655493482309125
Slovenia,SVN,0.35063470410034003,0.14338919925512106
Solomon Islands,SLB,0.3631143137606695,0.35288640595903165
Somalia,SOM,0.7271916908463615,0.6256983240223464
Somaliland,SML,0.34560929737621954,0.6741154562383612
South Africa,ZAF,0.342826054678075,0.2309124767225326
South Korea,KOR,0.16189156360651746,0.24022346368715083
South Sudan,SSD,0.8280988676272553,0.9162011173184358
Spain,ESP,0.1356527280263801,0.16573556797020483
Sri Lanka,LKA,0.2795382812516111,0.3556797020484171
Sudan,SDN,0.8172502273613096,0.7467411545623837
Suriname,SUR,0.44211179989730076,0.21042830540037247
Sweden,SWE,0.04444191820767107,0.0912476722532588
Switzerland,CHE,0.07049257492612049,0.12197392923649908
Syria,SYR,0.8552682863453294,0.5772811918063314
Taiwan,TWN,0.16816900420901978,0.31191806331471134
Tajikistan,TJK,0.8946927889860201,0.9720670391061452
Tanzania,TZA,0.531007494158722,0.22998137802607077
Thailand,THA,0.3227548457345781,0.5828677839851024
The Gambia,GMB,0.4020433646586693,0.38919925512104286
Timor-Leste,TLS,0.4675370841247157,0.3482309124767225
Togo,TGO,0.7426824200729618,0.686219739292365
Trinidad and Tobago,TTO,0.2923118881609203,0.16666666666666666
Tunisia,TUN,0.6453903396705787,0.3482309124767225
Turkmenistan,TKM,0.9385379482008038,0.9720670391061452
Türkiye,TUR,0.6467818321300197,0.5623836126629422
Uganda,UGA,0.6906829294447847,0.7728119180633147
Ukraine,UKR,0.5911138848159766,0.6713221601489758
United Arab Emirates,ARE,0.8839451981910083,0.8472998137802606
United Kingdom,GBR,0.1277837582566698,0.30819366852886404
United States of America,USA,0.3184169363037753,0.4273743016759777
Uruguay,URY,0.05270322801503783,0.2243947858472998
Uzbekistan,UZB,0.9172629101010289,0.7597765363128491
Vanuatu,VUT,0.36194219145368944,0.13873370577281194
Venezuela,VEN,0.9190428759091874,0.7318435754189944
Vietnam,VNM,0.8626296887470073,0.6210428305400373
Yemen,YEM,0.868320423747863,0.8994413407821229
Zambia,ZMB,0.46409933987886437,0.462756052141527
Zanzibar,ZZB,0.5803490228103714,0.5251396648044693
Zimbabwe,ZWE,0.6852466225761016,0.9124767225325885
